Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,entity,timestamp
61.239212,40.993362,56.51396,1.085832,12.603342,6.4513392,69.2,8.418108,3.1536114,305.39713,64.642006,42.710003,76.0,286.7,157.68292,58.106,61.208694,302.1,297.6,39.005875,54.7,4.6795526,106.22949,9.850797,64.6,9.528654,64.171814,35.027084,159.42625,307.7,14.615124,11.198711,151.15968,295.0,64.36256,58.36032,66.7,5.459478,75.7,60.1,86.7,2.6257725,303.0,295.7,95.500114,38.250553,311.5,40.90364,8.562224,60.674625,147.14275,69.0,64.9,306.8,8.307901,Equipment1,2018-04-21 00:00:00
61.22904,40.939957,56.498703,1.085832,12.665599,6.5445914,69.4,8.333333,3.1536114,305.7084,64.63183,42.72526,75.9,286.6,157.74396,58.09074,61.193436,302.1,297.6,39.028763,54.7,4.6795526,106.12268,9.537131,64.7,9.4608345,64.1947,35.099564,159.53308,307.8,14.242116,10.851136,151.8349,294.7,64.393074,58.350147,66.7,5.4933877,75.8,60.1,86.5,2.63859,303.0,295.9,95.96704,38.197147,311.5,41.18105,8.485928,60.669537,147.01305,69.2,65.0,306.9,8.248559,Equipment1,2018-04-21 00:01:00
61.22904,40.98192,56.47836,1.0867475,12.734264,6.4937267,69.9,8.282469,3.1875212,306.01053,64.61657,42.778667,75.8,286.7,157.67148,58.085655,61.18835,301.9,297.3,39.08217,54.8,4.747372,106.198975,9.520176,65.0,9.393015,64.19852,35.099564,159.49873,308.0,14.411665,11.232621,151.82346,294.7,64.30152,58.339973,66.5,5.459478,75.5,59.9,86.5,2.6697185,302.8,296.4,96.00366,38.20859,311.4,41.150837,8.358766,60.659367,146.92912,69.7,65.3,307.1,8.299423,Equipment1,2018-04-21 00:02:00
61.22904,40.970474,56.45801,1.0867475,12.725109,6.5106816,69.6,8.240082,3.1875212,306.11124,64.6064,42.736706,76.0,286.5,157.52652,58.070396,61.173088,302.2,297.6,39.055466,54.6,4.7134624,106.28672,9.621905,64.8,9.325195,64.28245,35.21401,159.5102,307.9,14.208206,11.232621,151.92645,294.7,64.377815,58.31963,66.8,5.459478,75.7,60.2,86.5,2.6541543,303.0,296.2,96.03113,38.277256,311.6,41.274433,8.426585,60.654278,146.91005,69.3,65.1,306.9,8.341811,Equipment1,2018-04-21 00:03:00
61.223953,41.03151,56.45801,1.0867475,12.695811,6.485249,69.6,8.333333,3.1875212,306.29434,64.61149,42.72526,75.9,286.7,157.51508,58.065308,61.168003,302.0,297.4,39.097427,54.7,4.7134624,106.3325,9.333673,64.8,9.359105,64.236664,35.286488,159.57123,307.9,14.377755,11.207189,152.24307,294.8,64.38926,58.31454,66.6,5.459478,75.6,60.0,86.6,2.6514077,302.9,296.1,95.96704,38.261997,311.5,41.151752,8.418108,60.649193,146.93675,69.4,65.2,307.0,8.299423,Equipment1,2018-04-21 00:04:00
61.22904,41.035324,56.452927,1.087663,12.818494,6.502204,70.2,8.307901,3.1875212,305.96475,64.59114,42.74052,75.6,286.6,157.40825,58.055138,61.168003,301.8,297.0,39.070724,54.7,4.781282,106.43931,9.986436,65.3,9.359105,64.26719,35.347523,159.54071,308.2,14.309936,10.800271,152.28503,294.8,64.320595,58.299282,66.4,5.425568,75.2,59.8,86.5,2.6962693,302.6,296.8,95.87549,38.2887,311.3,41.181965,8.316379,60.644104,146.8986,70.0,65.6,307.3,8.409631,Equipment1,2018-04-21 00:05:00
61.223953,41.06584,56.437668,1.087663,12.874342,6.5276365,70.5,8.257036,3.1875212,305.9739,64.58605,42.671856,75.5,286.6,157.00008,58.044964,61.152744,301.6,296.7,39.105057,54.7,4.8491015,106.56138,9.511699,65.6,9.426925,64.22522,35.29793,159.37285,308.4,14.547304,10.952866,151.97223,294.8,64.3473,58.28911,66.3,5.3577485,74.9,59.4,86.6,2.7255664,302.3,297.1,95.710686,38.29633,311.2,41.070267,8.316379,60.63902,146.9482,70.3,65.9,307.5,8.223126,Equipment1,2018-04-21 00:06:00
61.21887,41.09636,56.447838,1.087663,12.781873,6.5361137,69.8,8.248559,3.221431,306.52322,64.58096,42.782482,75.9,286.5,156.7216,58.03479,61.152744,302.0,297.4,39.17754,54.6,4.7134624,106.599525,9.554086,65.0,9.393015,64.24429,35.385674,159.40337,308.0,14.309936,11.03764,152.28503,294.7,64.39689,58.284023,66.7,5.459478,75.5,60.0,86.5,2.666972,302.8,296.3,96.16846,38.29633,311.5,41.39071,8.231604,60.633934,147.0283,69.6,65.3,307.1,8.197694,Equipment1,2018-04-21 00:07:00
61.22904,41.19936,56.442753,1.087663,12.82948,6.5530686,70.2,8.401153,3.1875212,306.25772,64.58096,42.858776,75.7,286.5,156.93523,58.03988,61.152744,301.8,297.1,39.215687,54.7,4.747372,106.71778,9.80841,65.3,9.359105,64.28626,35.404747,159.45677,308.2,14.276026,10.944388,152.99458,294.8,64.39689,58.284023,66.5,5.3916583,75.2,59.8,86.5,2.6971848,302.6,296.8,96.02197,38.300144,311.3,41.2607,8.485928,60.63902,146.96346,70.0,65.6,307.3,8.172262,Equipment1,2018-04-21 00:08:00
61.21887,41.19936,56.437668,1.0885786,12.835889,6.5530686,70.1,8.307901,3.1536114,306.47745,64.58096,42.874035,75.7,286.6,156.77882,58.029705,61.14257,301.8,297.0,39.280537,54.7,4.781282,106.87419,9.782977,65.3,9.359105,64.24811,35.47341,159.40337,308.2,13.903018,11.283486,152.88396,294.9,64.39689,58.27385,66.5,5.3577485,75.1,59.7,86.7,2.6999314,302.5,296.8,95.8938,38.39933,311.4,41.175556,8.392675,60.628845,147.04738,70.0,65.6,307.3,8.384198,Equipment1,2018-04-21 00:09:00
