Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,entity,timestamp
60.949287,38.933395,55.511944,1.0986496,13.518883,6.1546288,70.6,8.053577,2.9501526,303.99634,64.082504,40.882736,76.3,283.8,155.94339,57.129414,60.603416,302.4,297.3,37.45327,52.3,4.781282,107.14122,9.155646,65.8,9.4608345,66.865036,-9.6818495,156.57664,307.8,14.9881315,9.910139,117.898834,292.9,63.2372,57.68383,67.0,5.2221093,75.4,60.1,84.3,2.860151,302.9,297.1,96.342415,34.340427,311.6,43.855343,7.6636147,60.130383,144.0032,69.7,66.3,307.1,7.816209,Equipment1,2018-07-17 00:00:00
60.93403,38.891434,55.50686,1.0986496,13.53811,6.1546288,70.6,7.9603257,3.0179722,303.73083,64.07233,40.84077,76.4,283.6,155.77173,57.114155,60.588154,302.5,297.5,37.399864,52.1,4.8151917,107.309074,9.248898,65.8,9.2912855,66.880295,-9.697108,156.49652,307.8,14.784673,9.952526,117.99039,292.8,63.30205,57.663486,67.0,5.1881995,75.6,60.3,84.1,2.8592355,303.0,297.1,96.54383,34.271763,311.6,44.0531,7.8077316,60.125294,144.0795,69.7,66.2,307.1,7.6212277,Equipment1,2018-07-17 00:01:00
60.913685,38.872356,55.471252,1.0977341,13.555505,6.1885386,70.6,7.951848,2.9840624,304.29846,64.05198,40.714886,76.4,283.7,155.95483,57.098896,60.56781,302.5,297.6,37.399864,52.2,4.8151917,107.12215,9.647338,65.8,9.426925,66.86885,-9.609369,156.49652,307.8,14.852492,10.037301,117.956055,292.6,63.3669,57.64314,67.1,5.1881995,75.6,60.2,84.0,2.85832,303.0,297.1,96.86427,34.283207,311.7,44.132755,7.6720924,60.09986,143.96887,69.7,66.2,307.1,7.6975245,Equipment1,2018-07-17 00:02:00
60.888252,38.899063,55.44582,1.0977341,13.551843,6.0698543,70.6,7.926416,2.9162428,304.28015,64.05198,40.745403,76.4,283.5,156.00824,57.073463,60.547466,302.5,297.6,37.338825,52.0,4.8151917,107.087814,9.053917,65.8,9.426925,66.872665,-9.521629,156.49652,307.8,14.9881315,10.003391,117.98276,292.6,63.351643,57.632965,67.0,5.1881995,75.7,60.3,84.0,2.860151,303.0,297.1,96.690315,34.191654,311.6,44.198673,7.460156,60.08969,143.83154,69.7,66.3,307.1,7.6636147,Equipment1,2018-07-17 00:03:00
60.872993,38.899063,55.400043,1.0986496,13.67361,6.129196,70.6,7.816209,2.9162428,304.67383,64.03672,40.859844,76.8,283.1,156.33249,57.05312,60.537292,302.9,298.4,37.36553,51.5,4.781282,107.09926,9.231943,65.8,9.426925,66.880295,-9.388113,156.52324,307.9,15.055951,9.7999325,117.891205,291.6,63.347828,57.61262,67.4,5.2221093,76.4,61.0,83.2,2.861982,303.6,297.1,98.17349,34.142063,311.9,45.269855,7.6212277,60.06426,143.80103,69.7,66.2,307.2,7.64666,Equipment1,2018-07-17 00:04:00
60.852646,38.899063,55.32375,1.1032273,13.680018,6.146151,70.4,7.7314343,2.9162428,304.97595,64.01638,40.821697,77.0,283.2,157.17937,57.022602,60.51186,303.0,298.5,37.399864,51.6,4.7134624,106.54612,9.257376,65.7,9.359105,66.89174,-8.02243,156.78264,307.8,14.886402,9.782977,116.4683,291.4,63.382164,57.582104,67.6,5.1881995,76.6,61.0,83.0,2.8693066,303.7,296.9,98.57633,34.17258,312.0,45.374226,7.61275,60.028652,143.30128,69.5,66.1,307.1,7.64666,Equipment1,2018-07-17 00:05:00
60.832302,38.83421,55.27797,1.1032273,13.580224,6.1885386,70.3,7.875551,3.051882,303.9231,63.996033,40.764477,76.7,283.4,157.47691,56.99717,60.481342,302.8,298.2,37.323566,51.8,4.7134624,106.01587,9.4608345,65.6,9.393015,66.84215,-5.6992445,156.97719,307.8,14.852492,9.935572,114.64103,291.9,63.389793,57.55667,67.4,5.1542897,76.2,60.7,83.4,2.8491645,303.4,296.7,97.761505,34.199284,311.8,44.737926,7.4940658,60.00322,142.83208,69.3,66.0,307.0,7.6636147,Equipment1,2018-07-17 00:06:00
60.817043,38.788433,55.27797,1.0995651,13.636072,6.1885386,70.5,7.968803,3.1197016,304.6006,63.980774,40.821697,76.7,283.3,157.4731,56.97682,60.47117,302.7,298.2,37.296864,51.7,4.747372,106.0235,9.70668,65.7,9.393015,66.78493,-5.6420236,156.91997,307.9,14.818583,9.833842,116.006714,291.8,63.363087,57.536324,67.4,5.1542897,76.3,60.8,83.4,2.85832,303.4,297.0,97.8439,34.176395,311.8,45.005264,7.604273,59.98796,143.01518,69.6,66.2,307.1,7.8840284,Equipment1,2018-07-17 00:07:00
60.796696,38.76173,55.257626,1.0977341,13.663539,6.2139707,70.6,7.917938,3.0179722,304.5548,63.960426,40.760662,76.7,283.3,157.60663,56.95648,60.45591,302.8,298.2,37.30068,51.6,4.747372,106.09216,8.986097,65.9,9.393015,66.78874,-6.5194173,156.86656,307.9,14.954222,9.816887,117.31518,291.6,63.336384,57.521065,67.4,5.1881995,76.3,60.8,83.3,2.85832,303.5,297.1,98.11856,34.11154,311.9,45.128864,7.7314343,59.97779,142.93126,69.6,66.3,307.2,7.739912,Equipment1,2018-07-17 00:08:00
60.781437,38.799877,55.22202,1.0959029,13.654383,6.2394032,70.7,8.062055,3.0179722,304.5548,63.950256,40.7187,76.7,283.3,157.51889,56.93613,60.435562,302.7,298.1,37.296864,51.7,4.8151917,106.22949,9.401492,65.9,9.359105,66.76967,-7.202258,156.88564,307.9,14.818583,9.867752,117.956055,291.8,63.3402,57.505806,67.3,5.1881995,76.1,60.7,83.4,2.860151,303.4,297.3,97.81644,34.096283,311.8,44.964066,7.8246865,59.957443,142.88548,69.8,66.4,307.2,7.799254,Equipment1,2018-07-17 00:09:00
