Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,entity,timestamp
62.414165,44.033722,57.251488,1.0894941,13.5271225,5.7392335,72.7,8.460495,2.882333,299.8947,65.52703,45.681698,76.0,282.8,158.96849,59.275867,62.231056,301.8,298.1,42.397194,51.1,4.9847407,70.40513,9.189556,68.5,10.24076,67.99802,21.149004,161.47478,309.8,14.649034,9.299763,153.68506,292.5,65.999084,59.209747,66.7,5.08647,76.6,61.4,83.0,2.9086747,303.6,299.4,96.17761,40.699627,311.2,44.64088,8.028145,61.503704,147.19615,71.9,68.9,309.2,7.553408,Equipment1,2018-10-07 00:00:00
62.414165,44.022278,57.256573,1.0894941,13.5619135,5.7222786,72.9,8.468972,2.8484232,298.50308,65.52195,45.63592,76.0,282.6,158.93034,59.270782,62.22597,301.9,298.3,42.397194,50.7,4.9847407,70.149536,9.223466,68.6,10.20685,67.97513,21.156633,161.47096,309.9,14.784673,9.27433,153.76135,292.0,65.9762,59.214832,66.8,5.12038,76.8,61.6,82.6,2.9132524,303.8,299.5,96.31495,40.699627,311.2,44.984207,7.951848,61.503704,147.0512,72.0,68.9,309.2,7.4516788,Equipment1,2018-10-07 00:01:00
62.403996,44.0795,57.22097,1.0894941,13.58114,5.7053237,72.7,8.47745,2.882333,299.12567,65.50669,45.834286,76.1,282.6,159.26985,59.270782,62.231056,301.9,298.5,42.40101,50.9,4.950831,70.01602,9.130214,68.5,10.105121,67.92935,21.110857,161.49004,309.8,14.377755,9.520176,153.83002,291.9,65.999084,59.209747,66.9,5.2221093,76.9,61.7,82.5,2.9050126,303.8,299.3,96.919205,40.699627,311.3,45.18929,8.180739,61.488445,146.8185,71.8,68.8,309.2,7.417769,Equipment1,2018-10-07 00:02:00
62.398907,44.04135,57.22097,1.0885786,13.580224,5.6968465,72.8,8.47745,2.9501526,300.25177,65.50669,45.761806,76.1,282.8,159.3881,59.270782,62.236145,302.0,298.4,42.397194,51.0,4.9847407,70.04654,9.164124,68.6,10.20685,67.99039,21.122301,161.58923,309.8,14.479485,9.452356,153.63928,292.1,65.90372,59.20466,66.8,5.1542897,76.8,61.7,82.7,2.9123368,303.8,299.5,96.800186,40.699627,311.3,45.103226,8.0451,61.48336,146.91005,72.0,68.9,309.3,7.61275,Equipment1,2018-10-07 00:03:00
62.403996,44.068054,57.22097,1.0894941,13.567407,5.7731433,72.8,8.418108,2.882333,300.66376,65.51177,45.66644,76.0,282.8,159.3614,59.275867,62.231056,301.9,298.3,42.397194,51.1,4.9847407,70.28687,9.104781,68.6,10.105121,67.963684,21.07271,161.57016,309.8,15.055951,9.231943,153.70032,292.2,65.934235,59.20466,66.8,5.12038,76.8,61.6,82.8,2.9123368,303.7,299.5,96.66285,40.699627,311.2,44.980545,8.163784,61.49353,146.94438,72.0,68.9,309.2,7.5194983,Equipment1,2018-10-07 00:04:00
62.403996,44.1825,57.231144,1.0894941,13.55642,5.857918,72.8,8.570702,2.7806036,300.4715,65.51177,45.727474,76.0,282.9,159.28893,59.275867,62.236145,301.8,298.1,42.366673,51.2,4.950831,70.73319,9.087827,68.6,10.27467,67.99802,21.034561,161.54727,309.9,14.513394,9.418447,153.66599,292.3,65.96094,59.209747,66.8,5.12038,76.6,61.4,82.9,2.9123368,303.7,299.5,96.516365,40.707256,311.2,44.843212,8.138352,61.49862,146.9749,71.9,68.9,309.2,7.3160396,Equipment1,2018-10-07 00:05:00
62.398907,44.15198,57.241314,1.0885786,13.537194,5.815531,72.8,8.638521,2.7806036,300.69122,65.52195,45.777065,76.0,282.9,159.18593,59.275867,62.22597,301.8,298.2,42.381935,51.2,4.9847407,71.06889,9.350627,68.5,10.105121,68.00183,21.053635,161.49767,309.8,14.479485,9.647338,153.60495,292.5,65.918976,59.199574,66.7,5.12038,76.6,61.4,83.1,2.9077592,303.6,299.5,96.39735,40.756847,311.2,44.70039,8.070533,61.49862,147.02449,71.9,68.9,309.2,7.3499494,Equipment1,2018-10-07 00:06:00
62.403996,44.1825,57.246403,1.087663,13.550012,5.840963,72.8,8.655477,2.7806036,301.18564,65.52703,45.677883,76.0,282.8,159.11726,59.280956,62.220886,301.9,298.3,42.370487,51.1,4.9847407,71.05745,9.257376,68.6,10.20685,67.99802,21.061264,161.47859,309.8,14.886402,9.333673,153.6164,292.3,65.98001,59.20466,66.8,5.12038,76.7,61.5,82.9,2.9105058,303.7,299.6,96.552986,40.764477,311.3,44.90364,8.121397,61.503704,147.10841,72.0,68.9,309.3,7.5449305,Equipment1,2018-10-07 00:07:00
62.403996,44.148167,57.241314,1.087663,13.550012,5.807053,72.9,8.621567,2.8145134,300.99335,65.51686,45.799953,75.9,283.0,159.1249,59.280956,62.22597,301.8,298.1,42.38575,51.2,5.0186505,70.82094,9.443879,68.7,10.20685,67.99802,21.019302,161.47478,309.9,14.954222,9.426925,153.6965,292.5,65.91135,59.214832,66.7,5.1881995,76.5,61.4,83.1,2.9132524,303.6,299.6,96.45228,40.71107,311.2,44.769054,8.155307,61.50879,147.22285,72.0,69.0,309.3,7.553408,Equipment1,2018-10-07 00:08:00
62.403996,44.12146,57.246403,1.087663,13.540856,5.790098,72.9,8.61309,2.8484232,301.58847,65.51686,45.849545,76.0,282.9,159.00282,59.280956,62.22597,301.9,298.2,42.33234,51.1,5.0186505,70.48142,9.020007,68.6,10.13903,67.93698,21.023117,161.39085,309.8,14.716853,9.359105,153.65836,292.6,65.98764,59.209747,66.8,5.1542897,76.7,61.5,83.1,2.9086747,303.7,299.6,96.43397,40.699627,311.3,44.724194,8.189217,61.518963,147.26482,72.0,68.9,309.3,7.4092913,Equipment1,2018-10-07 00:09:00
