Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,entity,timestamp
58.411182,35.244526,53.23833,1.4895858,11.499199,4.976263,0.0,5.0525603,4.069176,305.3605,63.04488,37.834743,79.5,286.5,160.44098,55.964634,59.392857,304.8,301.2,33.199818,55.5,5.4933877,91.71435,5.5442524,47.4,11.325873,56.622414,-19.028,153.29976,288.1,25.059341,8.57918,68.61219,200.0,57.55703,55.761177,74.7,5.4933877,79.5,64.0,0.0,2.1945524,306.2,200.0,96.94667,28.30167,312.8,41.080338,6.1122413,59.13345,138.82277,0.0,47.7,286.8,6.4004745,Equipment1,2018-01-23 00:00:00
58.411182,35.286488,53.243416,1.4886702,11.543145,4.950831,0.0,5.0779924,4.069176,304.9027,63.05505,37.90341,79.4,286.5,160.54018,55.964634,59.39794,304.6,301.0,33.196003,55.5,5.5612073,91.64187,5.451,47.6,11.359783,56.622414,-18.753338,153.3112,288.4,24.448965,8.324856,68.61219,200.0,57.583733,55.761177,74.5,5.5272975,79.3,63.7,0.0,2.2165256,306.0,200.0,96.89174,28.38941,312.7,41.04738,6.298745,59.143623,138.79988,0.0,48.0,287.2,6.2817903,Equipment1,2018-01-23 00:01:00
58.40101,35.31319,53.25359,1.4886702,11.541314,4.9847407,0.0,5.0610375,4.136996,305.31473,63.06014,37.891968,79.5,286.4,160.4715,55.96972,59.392857,304.7,301.2,33.21126,55.4,5.4933877,91.744865,5.4933877,47.5,11.190234,56.72923,-19.382772,153.29976,288.2,24.855883,8.333333,68.8983,200.0,57.59899,55.766262,74.7,5.4933877,79.6,64.0,0.0,2.2009614,306.2,200.0,97.12062,28.393225,312.8,41.274433,6.256358,59.143623,138.83803,0.0,47.8,287.0,6.273313,Equipment1,2018-01-23 00:02:00
58.411182,35.37041,53.25359,1.4886702,11.5367365,4.976263,0.0,5.0610375,4.069176,305.53445,63.05505,37.914856,79.4,286.5,160.52492,55.979893,59.39794,304.6,301.1,33.287556,55.6,5.5612073,91.149765,5.467955,47.6,11.359783,56.69871,-19.577326,153.35316,288.4,24.788063,8.307901,68.94026,200.0,57.648586,55.77135,74.7,5.5272975,79.4,63.8,0.0,2.213779,306.1,200.0,97.093155,28.370337,312.7,41.117874,6.197016,59.158882,138.9334,0.0,47.9,287.2,6.2817903,Equipment1,2018-01-23 00:03:00
58.41627,35.301746,53.258675,1.4886702,11.518425,4.976263,0.0,5.0016956,4.1709056,305.49783,63.065224,37.91104,79.6,286.5,160.56306,55.984978,59.403027,304.8,301.2,33.302814,55.5,5.4933877,91.493095,5.425568,47.4,11.224144,56.69871,-19.489586,153.39894,288.1,24.211597,8.129874,68.92119,200.0,57.671474,55.766262,74.7,5.459478,79.5,64.0,0.0,2.1954682,306.2,200.0,96.97414,28.480965,312.9,41.161823,6.256358,59.163967,138.89906,0.0,47.7,286.9,6.4174294,Equipment1,2018-01-23 00:04:00
58.41627,35.366596,53.263763,1.4886702,11.48455,4.959308,0.0,5.0186505,4.1709056,305.6077,63.05505,37.987335,79.6,286.5,160.61647,55.99515,59.408115,304.8,301.3,33.398186,55.5,5.459478,91.87457,5.5442524,47.3,11.258054,56.7216,-19.41329,153.39513,288.0,23.94032,8.435062,68.86778,200.0,57.59899,55.77135,74.7,5.425568,79.7,64.1,0.0,2.1844816,306.3,200.0,97.12062,28.427557,312.9,41.177387,6.273313,59.163967,138.99825,0.0,47.6,286.6,6.3411326,Equipment1,2018-01-23 00:05:00
58.41627,35.36278,53.279022,1.4877546,11.479973,4.9847407,0.0,4.993218,4.136996,305.4246,63.06014,37.972076,79.5,286.5,160.74617,56.01041,59.418285,304.8,301.3,33.367664,55.6,5.4933877,91.565575,5.48491,47.3,11.156324,56.832226,-19.371328,153.42183,287.9,23.906408,8.307901,68.94026,200.0,57.713436,55.791695,74.6,5.3916583,79.6,64.0,0.0,2.1881437,306.3,200.0,96.91005,28.446632,312.8,41.080338,6.1885386,59.163967,138.9868,0.0,47.6,286.7,6.3411326,Equipment1,2018-01-23 00:06:00
58.421356,35.339893,53.289196,1.4877546,11.479057,5.0610375,0.0,5.0779924,4.136996,305.507,63.05505,37.94156,79.6,286.4,160.86443,56.020584,59.423374,304.8,301.4,33.302814,55.5,5.425568,92.40101,5.51882,47.3,11.258054,56.797894,-19.550621,153.48286,287.9,24.313326,8.401153,69.06233,200.0,57.785915,55.791695,74.9,5.3916583,79.7,64.1,0.0,2.1853971,306.4,200.0,96.937515,28.496223,312.9,41.12978,6.476772,59.17414,139.08217,0.0,47.5,286.6,6.468294,Equipment1,2018-01-23 00:07:00
58.42644,35.38949,53.304455,1.4877546,11.455253,4.976263,0.0,5.0186505,4.103086,305.45206,63.065224,37.979706,79.5,286.6,160.95216,56.02567,59.42846,304.8,301.3,33.299,55.6,5.4933877,92.3209,5.5696845,47.4,11.529332,56.80171,-19.169146,153.52103,288.0,24.279417,8.401153,68.78386,200.0,57.743954,55.80187,74.8,5.3916583,79.6,64.0,0.0,2.183566,306.3,200.0,97.0016,28.47715,312.8,41.05745,6.5700235,59.179226,139.10506,0.0,47.6,286.8,6.2648354,Equipment1,2018-01-23 00:08:00
58.4417,35.393303,53.304455,1.4877546,11.507439,4.9423532,0.0,5.0610375,4.069176,304.57312,63.070312,37.972076,79.5,286.4,160.9102,56.040928,59.438633,304.7,301.2,33.310444,55.5,5.5272975,91.851685,5.51882,47.5,11.427603,56.885635,-18.589304,153.50577,288.2,24.109867,8.494405,68.55497,200.0,57.808804,55.80187,74.6,5.4933877,79.6,63.9,0.0,2.1982148,306.1,200.0,96.94667,28.419928,312.8,41.138935,6.3580875,59.179226,138.97154,0.0,47.8,287.0,6.2054935,Equipment1,2018-01-23 00:09:00
