Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,entity,timestamp
60.171074,38.864727,54.91175,1.1114671,12.410163,5.8833504,69.8,8.197694,3.1197016,305.91898,63.8587,40.72633,77.2,283.8,156.2829,56.890354,60.03374,303.1,300.4,37.449455,52.1,4.442184,36.793316,9.265853,65.2,9.596474,58.209354,17.09392,155.47798,306.7,15.123771,9.181078,129.19814,293.2,58.25513,57.10907,67.9,5.1881995,80.0,63.5,83.8,2.5616846,305.6,294.6,95.2987,35.397118,311.8,43.03868,8.468972,59.69804,144.49149,67.6,66.1,306.0,7.5788403,Equipment1,2018-11-02 00:00:00
60.17616,38.92195,54.88632,1.1105516,12.491646,5.9257374,70.1,8.290946,3.1875212,305.45206,63.833267,40.80644,77.2,283.7,156.00443,56.875095,60.028652,303.1,300.4,37.491417,52.0,4.476094,36.62547,9.367582,65.4,9.359105,58.171207,16.247044,155.48561,307.0,14.818583,9.325195,129.83139,293.0,58.266575,57.088722,67.9,5.256019,80.0,63.5,83.7,2.5836575,305.6,295.0,95.50927,35.44671,311.8,43.259327,8.053577,59.682777,144.37704,68.0,66.4,306.2,7.417769,Equipment1,2018-11-02 00:01:00
60.181244,38.92958,54.860886,1.1105516,12.522774,5.934215,70.1,8.307901,3.1875212,305.65347,63.828182,40.810253,77.1,283.7,155.89761,56.859837,60.023567,303.1,300.4,37.571526,52.0,4.476094,36.686504,9.087827,65.5,9.2912855,58.19791,15.579461,155.49706,307.0,14.784673,9.24042,130.14801,292.9,58.209354,57.078552,67.9,5.2221093,80.0,63.4,83.5,2.589151,305.6,294.9,95.674065,35.4963,311.8,43.379265,8.053577,59.66752,144.31601,68.0,66.5,306.3,7.434724,Equipment1,2018-11-02 00:02:00
60.191418,39.02495,54.8558,1.1105516,12.629892,5.8663955,70.7,8.299423,3.1536114,305.0309,63.833267,40.794994,76.7,283.8,155.84802,56.849663,60.018482,302.6,299.9,37.609673,52.0,4.5439134,37.201496,8.570702,66.1,9.257376,58.209354,15.091172,155.57718,307.5,14.716853,9.5032215,130.27008,292.9,58.224613,57.063293,67.5,5.1881995,79.5,62.9,83.6,2.6431677,305.1,295.8,95.44518,35.54589,311.6,43.24468,8.460495,59.662434,144.21301,68.7,67.1,306.8,7.324517,Equipment1,2018-11-02 00:03:00
60.191418,39.12795,54.820198,1.107805,12.99794,5.840963,72.0,8.197694,3.221431,304.9027,63.812923,40.875107,76.5,283.1,155.31776,56.81406,59.99305,302.4,299.6,37.70886,51.6,4.611733,36.90776,9.003052,67.3,8.986097,58.19791,14.389257,155.42458,308.4,13.903018,9.299763,130.11368,292.3,58.20554,57.04803,67.3,5.2221093,79.2,62.7,83.0,2.744793,304.9,297.4,96.2417,35.622185,311.5,44.121765,7.8246865,59.647175,144.01083,70.1,68.3,307.7,7.5788403,Equipment1,2018-11-02 00:04:00
60.196503,39.29961,54.723557,1.1068895,13.316548,5.959647,72.8,8.087487,3.3570702,305.40628,63.782406,41.107803,76.6,282.5,155.19951,56.778454,59.97779,302.5,299.9,37.94156,51.0,4.747372,36.945908,8.901322,68.1,8.884368,58.19791,12.932021,155.48943,308.9,13.462191,9.316717,131.57855,291.1,58.27802,57.022602,67.4,5.459478,79.5,63.1,82.0,2.8079653,305.2,298.3,98.14603,35.641262,311.5,45.528954,7.8585963,59.61157,143.80484,71.0,69.0,308.3,7.6381826,Equipment1,2018-11-02 00:05:00
60.206676,39.436943,54.61674,1.1050583,13.66537,5.9426923,73.9,8.155307,3.4248898,304.8203,63.756973,41.20699,76.5,282.3,155.17662,56.722504,59.94727,302.3,299.3,38.017853,50.9,4.781282,37.010757,8.714819,69.1,8.646999,58.258945,11.387045,155.61914,309.6,13.59783,9.155646,132.2156,290.6,58.2208,56.971737,67.2,5.289929,78.9,62.7,81.6,2.9150836,304.8,299.7,98.81438,35.675594,311.4,46.04898,7.8331637,59.570877,142.99611,72.2,70.1,309.0,7.460156,Equipment1,2018-11-02 00:06:00
60.21685,39.562828,54.56079,1.1050583,13.663539,5.9003053,73.8,8.180739,3.4927094,304.50903,63.736626,41.233692,76.5,282.2,154.75319,56.681812,59.926926,302.3,299.3,38.101776,50.9,4.781282,37.579155,8.782639,69.1,8.714819,58.236057,10.395208,155.58862,309.6,13.258732,9.147168,132.17746,290.6,58.216984,56.946304,67.2,5.256019,78.9,62.6,81.5,2.9086747,304.8,299.6,98.83269,35.717556,311.4,46.05539,7.8501186,59.550533,142.39337,72.3,70.0,309.0,7.6890473,Equipment1,2018-11-02 00:07:00
60.221935,39.681087,54.545532,1.1050583,13.6662855,5.976602,73.8,8.214649,3.560529,304.39,63.726456,41.34432,76.5,282.3,154.61586,56.681812,59.92184,302.3,299.3,38.220036,50.8,4.8151917,37.16335,9.070871,69.2,8.680909,58.2208,9.876402,155.66492,309.6,13.224822,9.214988,132.53224,290.6,58.232243,56.931046,67.2,5.3238387,78.9,62.7,81.5,2.9095902,304.8,299.7,98.851,35.790035,311.4,46.078278,7.9772806,59.54036,142.09964,72.3,70.1,309.0,7.5279756,Equipment1,2018-11-02 00:08:00
60.242283,39.753567,54.555706,1.1041428,13.650721,5.959647,73.8,8.189217,3.5266192,304.85693,63.711197,41.48928,76.5,282.4,154.61586,56.691986,59.911667,302.3,299.3,38.483253,50.8,4.781282,36.6331,8.901322,69.1,8.646999,58.19791,9.506371,155.77173,309.6,13.63174,9.036962,132.82979,290.8,58.2475,56.931046,67.2,5.289929,78.9,62.6,81.7,2.9077592,304.8,299.7,98.7686,35.934998,311.4,45.98123,7.799254,59.54036,142.03098,72.3,70.0,309.0,7.64666,Equipment1,2018-11-02 00:09:00
60.25754,39.902344,54.565876,1.1032273,13.654383,5.8494406,73.9,8.104443,3.4587996,304.91187,63.711197,41.645687,76.5,282.3,154.59679,56.70216,59.91675,302.3,299.3,38.540474,50.8,4.781282,36.850536,8.969142,69.2,8.646999,58.19791,9.346151,155.8671,309.6,13.326551,9.172601,133.03578,290.7,58.308537,56.93613,67.2,5.289929,78.9,62.6,81.6,2.9086747,304.8,299.7,98.759445,36.118103,311.5,45.993134,7.7907767,59.54545,142.19882,72.4,70.1,309.0,7.4092913,Equipment1,2018-11-02 00:10:00
60.2728,40.104523,54.57605,1.1041428,13.656214,5.9003053,73.9,8.248559,3.39098,304.89355,63.71628,41.7525,76.5,282.4,154.71886,56.71742,59.926926,302.3,299.3,38.723583,50.9,4.781282,36.968796,9.265853,69.2,8.680909,58.27039,9.246967,155.97772,309.6,13.292642,9.206511,133.13878,290.7,58.297092,56.94122,67.2,5.289929,78.9,62.6,81.6,2.9086747,304.8,299.6,98.80522,36.232548,311.4,46.011444,7.773822,59.55562,142.20264,72.3,70.0,309.0,7.4940658,Equipment1,2018-11-02 00:11:00
60.277885,40.26093,54.586224,1.1041428,13.653467,5.9426923,73.8,8.206172,3.3231604,304.9668,63.721367,41.85931,76.5,282.4,154.79515,56.722504,59.93201,302.3,299.3,38.81895,50.9,4.781282,36.671246,9.036962,69.1,8.714819,58.289463,9.197375,156.14557,309.6,13.56392,9.172601,133.30663,290.7,58.297092,56.95139,67.2,5.256019,78.9,62.6,81.6,2.9095902,304.8,299.6,98.82353,36.350803,311.5,46.015106,7.6551375,59.560707,142.28275,72.2,70.0,309.0,7.604273,Equipment1,2018-11-02 00:12:00
60.303318,40.32578,54.596394,1.1032273,13.65713,6.0020347,73.8,8.401153,3.2553408,304.85693,63.721367,41.89746,76.5,282.3,154.87526,56.732677,59.942184,302.3,299.3,38.967728,50.9,4.8151917,37.216755,9.181078,69.1,8.748729,58.293278,9.197375,156.19897,309.7,13.462191,8.926755,133.46303,290.6,58.28565,56.961563,67.2,5.3577485,78.9,62.6,81.6,2.9095902,304.8,299.7,98.83269,36.4271,311.4,46.005035,7.6805696,59.570877,142.29037,72.3,70.0,309.0,7.6805696,Equipment1,2018-11-02 00:13:00
60.308403,40.417336,54.606567,1.1023117,13.653467,5.9257374,73.9,8.367243,3.1875212,305.23233,63.721367,41.996643,76.5,282.3,154.91722,56.747936,59.94727,302.3,299.3,38.982986,50.9,4.781282,36.831463,9.045439,69.2,8.850458,58.297092,9.170672,156.3096,309.7,13.59783,9.155646,133.608,290.7,58.297092,56.966652,67.2,5.3238387,78.9,62.6,81.6,2.9086747,304.8,299.7,98.84184,36.49958,311.5,46.008698,7.7144794,59.58614,142.33615,72.4,70.0,309.0,7.477111,Equipment1,2018-11-02 00:14:00
60.32366,40.42115,54.632,1.1023117,13.652552,5.993557,73.9,8.265513,3.1875212,305.13162,63.721367,42.088196,76.5,282.4,154.99733,56.763195,59.957443,302.3,299.3,38.998245,50.9,4.747372,37.182423,8.596134,69.2,8.918278,58.297092,9.098192,156.40878,309.7,13.936928,9.130214,133.71481,290.8,58.31235,56.966652,67.2,5.3238387,78.8,62.6,81.7,2.9095902,304.8,299.6,98.81438,36.575874,311.4,45.986725,7.9942355,59.591225,142.298,72.3,70.1,309.0,7.570363,Equipment1,2018-11-02 00:15:00
60.333836,40.497444,54.632,1.1013962,13.656214,5.95117,73.9,8.273992,3.2553408,305.095,63.726456,42.088196,76.5,282.4,155.05455,56.76828,59.967617,302.3,299.3,39.063095,50.9,4.781282,37.68597,9.104781,69.2,8.816548,58.297092,9.12108,156.48508,309.7,13.462191,9.435402,133.7911,290.7,58.297092,56.98191,67.2,5.3238387,78.9,62.6,81.6,2.9095902,304.8,299.7,98.82353,36.610207,311.5,46.027924,7.7907767,59.59631,142.41626,72.4,70.1,309.1,7.4516788,Equipment1,2018-11-02 00:16:00
