Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,entity,timestamp
59.13345,37.59823,54.118275,1.3559167,11.937743,5.272974,0.0,7.7144794,3.0857918,304.7837,64.02655,40.386818,78.2,286.4,162.57344,57.058205,60.333836,304.5,299.9,35.099564,53.8,4.3404546,65.83887,8.324856,53.6,8.646999,Equipment1,2018-08-07 00:18:00
59.11819,37.682156,54.087757,1.3550011,11.889219,5.2644963,0.0,7.706002,3.1875212,305.0767,64.0062,40.348667,79.0,286.1,162.11185,57.017513,60.318577,305.4,300.7,35.114822,53.6,4.272635,65.82742,8.384198,52.7,8.61309,Equipment1,2018-08-07 00:19:00
59.123276,37.613487,54.103016,1.3550011,11.808652,5.289929,0.0,7.8331637,3.0857918,304.9027,64.0062,40.348667,78.5,286.4,161.98215,57.027687,60.31349,304.9,300.4,35.09575,53.7,4.306545,65.81979,8.257036,52.9,8.61309,Equipment1,2018-08-07 00:20:00
59.123276,37.621117,54.11319,1.3559167,11.963378,5.272974,0.0,7.8585963,3.0857918,304.4541,64.00112,40.33341,78.3,286.3,162.11566,57.032772,60.32366,304.6,300.0,35.099564,53.6,4.3404546,65.78546,8.265513,53.6,8.54527,Equipment1,2018-08-07 00:21:00
59.123276,37.697414,54.092842,1.3550011,12.011902,5.1966767,0.0,7.6212277,3.0857918,304.69214,63.990948,40.207523,78.2,286.2,161.52438,57.00734,60.308403,304.6,299.9,35.099564,53.6,4.272635,65.697716,7.765344,53.7,8.646999,Equipment1,2018-08-07 00:22:00
59.123276,37.59823,54.0725,1.3550011,11.929503,5.256019,0.0,7.7314343,3.1875212,305.88235,63.990948,40.356297,78.8,286.1,161.24971,56.99717,60.303318,305.2,300.6,35.099564,53.5,4.3404546,65.79309,8.104443,53.0,8.680909,Equipment1,2018-08-07 00:23:00
59.143623,37.434196,54.1081,1.3550011,11.69604,5.332316,0.0,7.8077316,3.1536114,305.56192,64.0062,40.257114,78.8,286.3,161.69604,57.03786,60.318577,305.2,301.0,35.118637,53.6,4.3404546,65.812164,8.240082,52.4,8.714819,Equipment1,2018-08-07 00:24:00
59.14871,37.586784,54.133533,1.3550011,11.693294,5.3238387,0.0,7.765344,3.1197016,305.13162,64.0062,40.299076,78.8,286.3,162.37125,57.063293,60.318577,305.2,300.9,35.099564,53.6,4.306545,65.82742,8.426585,52.3,8.714819,Equipment1,2018-08-07 00:25:00
59.143623,37.506676,54.143707,1.3550011,11.761959,5.289929,0.0,7.816209,3.0179722,304.56396,64.01638,40.31052,78.7,286.2,162.56963,57.06838,60.32875,305.1,300.7,35.099564,53.6,4.306545,65.80072,8.375721,52.6,8.748729,Equipment1,2018-08-07 00:26:00
59.143623,37.59823,54.138622,1.3540856,11.66949,5.4001355,0.0,7.8416414,3.0857918,305.68094,64.01129,40.299076,78.9,286.4,162.58488,57.06838,60.32366,305.3,301.0,35.099564,53.7,4.3743644,65.796906,8.138352,52.3,8.850458,Equipment1,2018-08-07 00:27:00
59.153797,37.594414,54.148792,1.3540856,11.870909,5.272974,0.0,7.7483892,3.1197016,304.26184,64.01638,40.33341,78.6,286.1,162.84047,57.063293,60.333836,305.0,300.6,35.099564,53.5,4.3404546,65.804535,8.138352,53.1,8.748729,Equipment1,2018-08-07 00:28:00
59.143623,37.58297,54.11319,1.3540856,11.740902,5.3407936,0.0,7.8077316,3.0857918,305.49783,64.01638,40.35248,78.8,286.2,162.5887,57.05312,60.32366,305.2,300.8,35.02327,53.6,4.3743644,65.70153,8.401153,52.5,8.816548,Equipment1,2018-08-07 00:29:00
59.143623,37.56008,54.123363,1.3540856,11.792172,5.2644963,0.0,7.6381826,3.0857918,305.2598,64.01638,40.344852,78.8,286.2,162.71458,57.05312,60.318577,305.2,300.8,34.996567,53.6,4.306545,65.72823,8.282469,52.7,8.61309,Equipment1,2018-08-07 00:30:00
59.143623,37.499046,54.143707,1.3540856,11.729916,5.2475414,0.0,7.8077316,2.9501526,305.0309,64.01638,40.276188,78.6,286.5,162.68025,57.058205,60.32875,305.0,300.6,34.992752,53.7,4.306545,65.74731,8.01119,52.8,8.680909,Equipment1,2018-08-07 00:31:00
