Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,entity,timestamp
61.112053,42.603188,57.714348,1.207599,11.592584,6.578501,63.4,9.189556,2.543235,303.328,65.51686,45.098038,79.1,284.6,166.02197,59.367424,62.373478,304.8,301.8,40.997177,52.2,4.306545,52.475777,9.876229,56.8,7.2227874,65.29717,29.026474,160.68132,300.1,13.936928,10.791794,126.11963,294.5,65.04921,59.362335,69.7,4.950831,81.1,64.5,85.1,2.2449074,306.8,286.4,93.00069,38.597694,313.0,41.467613,8.782639,61.54948,149.23323,0.0,60.5,299.2,8.214649,Equipment1,2018-11-27 00:00:00
61.117138,42.599373,57.714348,1.207599,11.637445,6.5276365,63.6,9.164124,2.543235,303.30054,65.5016,45.113297,79.1,284.5,166.01816,59.367424,62.373478,304.8,301.7,40.962845,52.1,4.306545,52.47959,9.664293,57.0,7.2227874,65.29717,29.056992,160.61647,300.3,13.56392,11.046118,126.1387,294.5,64.980545,59.35725,69.7,4.8830113,81.1,64.3,85.1,2.2577248,306.7,286.7,93.00984,38.551918,313.0,41.51339,8.892845,61.54948,149.11116,0.0,60.7,299.4,8.307901,Equipment1,2018-11-27 00:01:00
61.106968,42.66041,57.704174,1.2066834,11.632868,6.5700235,63.6,9.223466,2.5093253,303.63013,65.50669,45.098038,79.1,284.5,165.91516,59.35725,62.363304,304.8,301.7,40.98192,52.2,4.306545,52.353703,10.113598,57.0,7.121058,65.232315,28.885328,160.63936,300.3,13.4961,10.808749,126.09674,294.6,65.02251,59.35725,69.7,4.916921,81.0,64.3,85.1,2.2568092,306.7,286.6,93.00984,38.525215,313.1,41.4905,8.935232,61.559654,149.17982,0.0,60.6,299.4,8.316379,Equipment1,2018-11-27 00:02:00
61.117138,42.679485,57.709263,1.207599,11.631037,6.5276365,63.6,9.181078,2.543235,303.5111,65.51177,45.098038,79.1,284.5,165.87701,59.35725,62.36839,304.8,301.7,40.97429,52.2,4.3404546,52.231632,10.062733,57.0,7.426246,65.2781,28.820478,160.63936,300.3,13.801289,10.690064,126.112,294.5,65.037766,59.352165,69.7,4.916921,81.1,64.4,85.1,2.2558937,306.8,286.6,93.03731,38.509956,313.0,41.517967,8.858935,61.54948,149.19127,0.0,60.7,299.4,8.223126,Equipment1,2018-11-27 00:03:00
61.112053,42.656597,57.714348,1.2066834,11.634699,6.595456,63.6,9.096304,2.543235,303.7583,65.50669,45.098038,79.1,284.5,165.83887,59.362335,62.36839,304.8,301.8,40.98192,52.2,4.306545,51.71664,9.74059,57.0,7.3584266,65.232315,28.812849,160.5974,300.2,13.665649,10.774839,126.09674,294.5,65.04921,59.35725,69.7,4.950831,81.1,64.4,85.1,2.2549782,306.8,286.6,93.101395,38.58625,313.1,41.540855,8.87589,61.54948,149.18745,0.0,60.6,299.3,8.206172,Equipment1,2018-11-27 00:04:00
61.106968,42.534523,57.709263,1.2066834,11.569695,6.519159,63.3,9.282807,2.543235,303.9048,65.51177,45.10948,79.3,284.5,165.87701,59.367424,62.36839,305.1,302.1,40.997177,52.1,4.272635,52.14008,9.825364,56.6,7.324517,65.29717,28.828108,160.58977,299.8,14.004747,11.198711,126.11963,294.5,65.01869,59.352165,69.9,4.9847407,81.4,64.6,85.1,2.2293432,307.0,286.2,93.12886,38.559547,313.2,41.56832,9.079349,61.559654,149.24849,0.0,60.3,298.9,8.095964,Equipment1,2018-11-27 00:05:00
61.112053,42.542152,57.704174,1.207599,11.473564,6.4343843,63.0,9.070871,2.543235,304.24353,65.51686,45.098038,79.4,284.6,166.1326,59.382683,62.36839,305.1,302.3,40.997177,52.2,4.238725,52.075226,10.300101,56.3,7.324517,65.29717,28.892958,160.72328,299.4,14.309936,10.986775,126.48966,294.6,65.01869,59.362335,70.0,5.12038,81.5,64.9,85.2,2.1972992,307.1,285.8,93.11055,38.509956,313.2,41.495995,8.80807,61.54948,149.20653,0.0,60.0,298.4,8.206172,Equipment1,2018-11-27 00:06:00
61.117138,42.53071,57.719437,1.2066834,11.498283,6.5361137,63.2,9.020007,2.5093253,303.5935,65.51686,45.101852,79.2,284.6,166.4454,59.392857,62.373478,304.9,302.1,40.997177,52.2,4.306545,52.113373,9.910139,56.5,7.3584266,65.29717,28.812849,160.79958,299.6,14.411665,10.817226,126.451515,294.6,64.95384,59.35725,69.8,5.0525603,81.3,64.6,85.2,2.2146945,307.0,286.1,92.89998,38.51377,313.1,41.367817,9.469312,61.55457,149.13023,0.0,60.2,298.8,8.265513,Equipment1,2018-11-27 00:07:00
61.122227,42.504005,57.729607,1.2057679,11.562371,6.5869784,63.3,9.206511,2.543235,303.18152,65.51686,45.10948,79.3,284.3,166.43396,59.392857,62.378563,305.0,302.2,40.962845,52.0,4.272635,52.201115,9.918616,56.6,7.3584266,65.27047,28.850996,160.71565,299.8,13.801289,10.723974,126.092926,294.4,64.99962,59.362335,69.9,5.12038,81.4,64.8,85.0,2.2229342,307.1,286.2,93.119705,38.502327,313.1,41.667202,9.155646,61.54948,149.17601,0.0,60.3,298.9,8.197694,Equipment1,2018-11-27 00:08:00
61.117138,42.545967,57.714348,1.207599,11.561456,6.5869784,63.4,9.206511,2.4754155,303.98718,65.51177,45.044632,79.1,284.6,166.45303,59.387768,62.378563,304.9,301.9,40.890366,52.2,4.3404546,51.8616,9.825364,56.8,7.3923364,65.19798,28.736553,160.70421,300.0,13.903018,11.020685,126.386665,294.6,64.99962,59.362335,69.7,4.950831,81.2,64.5,85.2,2.2384984,306.9,286.3,92.95491,38.498512,313.1,41.389793,9.079349,61.544395,149.1989,0.0,60.5,299.2,8.324856,Equipment1,2018-11-27 00:09:00
61.122227,42.568855,57.709263,1.2066834,11.591668,6.612411,63.3,9.248898,2.5093253,303.25476,65.50669,45.120926,79.3,284.4,166.25467,59.377598,62.373478,305.1,302.1,40.844585,52.1,4.272635,51.647976,10.308579,56.7,7.324517,65.232315,28.759441,160.71184,299.9,14.038657,10.902,125.73052,294.5,64.99962,59.362335,69.9,5.0525603,81.3,64.7,85.1,2.2320898,307.0,286.3,93.09224,38.498512,313.2,41.61959,9.028484,61.53931,149.17601,0.0,60.4,299.0,8.341811,Equipment1,2018-11-27 00:10:00
61.117138,42.462044,57.704174,1.2066834,11.473564,6.502204,63.0,9.079349,2.5093253,304.26184,65.51177,45.056076,79.4,284.6,166.38818,59.387768,62.378563,305.1,302.3,40.924698,52.2,4.272635,52.376595,9.621905,56.3,7.3584266,65.19798,28.698406,160.75761,299.5,14.276026,10.868091,126.245514,294.6,64.99962,59.362335,70.0,5.12038,81.6,64.9,85.2,2.2000458,307.2,285.8,93.101395,38.498512,313.2,41.461205,8.825026,61.544395,149.15312,0.0,60.0,298.5,8.155307,Equipment1,2018-11-27 00:11:00
